Gd-St,DIDE,DIME,MIPA,PELO,DIOR,ONsp,PEMA,PETR,TotalCaps,SR
12404,,1,2,,,,,,3,2
12405,,,1,,3,,,,4,2
12406,,,1,,1,,,,2,2
12407,,,,,1,,,,1,1
12408,,,1,1,,,,,2,2
12409,3,,1,,,,,,4,2
12410,1,,1,,,,,,2,2
12411,1,,2,,,,,,3,2
12412,1,,2,,,,,,3,2
12413,2,,1,,,,,,3,2
12414,,,2,,,,,,2,1
12415,2,,2,1,,,,,5,3
12416,1,,3,,,,,,4,2
13101,1,,3,2,,1,,,7,4
13102,3,,,2,,,,,5,2
13103,4,,,,,,,,4,1
13104,2,,,,,,,,2,1
13105,1,,,1,,,,,2,2
13106,2,1,1,1,,,,,5,4
13107,1,,1,,1,,,,3,3
13108,,,,,,,,,0,0
13109,1,,1,1,1,1,,,5,5
13110,,1,1,2,,,,,4,3
13111,,2,1,2,,,,,5,3
13112,3,2,,2,,,,,7,3
13113,5,,,2,3,,,,10,3
13114,4,,,,,,1,,5,2
13115,1,3,,4,,,,,8,3
13116,4,,,2,,2,,,8,3
13201,3,,,2,,,,,5,2
13202,,,1,5,,,1,,7,3
13203,,4,1,2,,,,,7,3
13204,,,,,1,2,1,,4,3
13205,,,1,1,,,,,2,2
13206,,,1,1,,,,,2,2
13207,,,1,,,,,,1,1
13208,,,,2,,,,,2,1
13209,2,,1,2,1,,,,6,4
13210,1,,1,,,,,,2,2
13211,,1,,3,,,,,4,2
13212,2,,,2,,,,,4,2
13213,,,,1,1,,,,2,2
13214,1,,2,1,2,,,,6,4
13215,2,1,1,,,,,,4,3
13216,3,,1,3,,,,,7,3
13301,1,,1,6,,,,,8,3
13302,,,,2,,,,,2,1
13303,,6,1,3,,,,,10,3
13304,,,1,3,,,,,4,2
13305,,,,,,1,,,1,1
13306,,,,,,,,,0,0
13307,,,1,3,,,,,4,2
13308,2,,2,1,,,,,5,3
13309,1,1,1,3,,,,,6,4
13310,,1,,1,,,1,,3,3
13311,,1,1,1,,,1,,4,4
13312,2,,1,2,,,,,5,3
13313,1,1,,1,1,,,,4,4
13314,,,,,,,,,0,0
13315,1,,,1,,,,,2,2
13316,3,,,3,,,,,6,2
13401,1,,,7,1,,1,,10,4
13402,1,,,4,,,,,5,2
13403,,,,6,,,,,6,1
13404,,1,,1,,,,,2,2
13405,,,,2,1,,,,3,2
13406,,3,,1,3,,,,7,3
13407,1,,,1,,,1,,3,3
13408,1,,,3,,,,,4,2
13409,2,1,,3,,,,,6,3
13410,,2,,2,2,,,,6,3
13411,2,,1,2,,,,,5,3
13412,3,,,2,,,,,5,2
13413,1,,1,2,,,,,4,3
13414,2,,,,,,,,2,1
13415,1,,1,5,1,,,,8,4
13416,,3,1,2,,,,,6,3
14101,,,2,,2,,1,,5,3
14102,,,,,,,,,0,0
14103,1,,1,,1,,,,3,3
14104,,,,1,,,,,1,1
14105,2,,,,,1,,,3,2
14106,2,1,,1,1,,,,5,4
14107,,,,1,,1,,,2,2
14108,3,,,,,,,,3,1
14109,,1,,5,,,,,6,2
14110,1,,2,1,1,,,,5,4
14111,1,,1,1,,,,,3,3
14112,2,,1,1,,,,,4,3
14113,2,1,,,3,,1,,7,4
14114,1,,,1,,,,,2,2
14115,3,,1,,1,,,,5,3
14116,4,,1,2,1,,,,8,4
14201,,,,2,,,,,2,1
14202,1,,,,1,,,,2,2
14203,,,,,,,,,0,0
14204,,,,,,,,,0,0
14205,2,2,,,,,,,4,2
14206,1,1,,,,,,,2,2
14207,3,2,,,,,,,5,2
14208,1,,,,,,,,1,1
14209,,1,,,,,,,1,1
14210,2,,,,1,,,,3,2
14211,,,,,,,,,0,0
14212,,,,2,,,,,2,1
14213,3,,,2,,,,,5,2
14214,1,,,,,1,,,2,2
14215,,,,1,,,,,1,1
14216,,,2,,3,,,,5,2
14301,,,,3,,,,,3,1
14302,1,,,,1,,,,2,2
14303,1,1,,2,1,,,,5,4
14304,1,3,1,1,3,,,,9,5
14305,,,1,1,,,,,2,2
14306,1,1,,3,,,,,5,3
14307,1,3,,2,,,,,6,3
14308,,2,,3,,,,,5,2
14309,1,1,3,,,,2,,7,4
14310,1,,,,,,,,1,1
14311,,1,1,2,,,,,4,3
14312,,2,,,,,,,2,1
14313,3,,2,1,,,,,6,3
14314,1,,,,,,,,1,1
14315,2,,1,,1,,,,4,3
14316,2,,2,2,,,,,6,3
14401,2,1,,2,1,,,,6,4
14402,,,2,1,,1,,,4,4
14403,3,1,,,,,,,4,2
14404,2,,,,,,,1,3,2
14405,,,,1,,,,,1,1
14406,,1,,1,1,,,,3,3
14407,,,1,1,1,,,,3,3
14408,1,2,,5,,1,,,9,4
14409,,,,2,1,,,,3,2
14410,,,,,1,,,,1,1
14411,,,1,3,3,,,,7,3
14412,,,,4,,,,,4,1
14413,1,2,1,2,,,,,6,4
14414,,3,1,,1,,,,5,3
14415,3,1,1,1,,,,,6,4
14416,,,4,3,,,,1,8,3
15101,2,,2,1,,3,,,8,4
15102,3,,1,,,,,,4,2
15103,1,2,1,1,,,,,5,4
15104,4,,,3,,,,,7,2
15105,3,,,3,2,,,,8,3
15106,2,,,7,,,,,9,2
15107,,,3,,2,1,,,6,3
15108,,,,2,,,,,2,1
15109,1,1,1,4,,,,,7,4
15110,1,2,,1,,,,,4,3
15111,1,3,,1,1,1,,,7,5
15112,,1,1,5,,,,,7,3
15113,,4,1,6,,,,,11,3
